valor;bairro;obs;tipo;dormitorios;banheiros;vagasGaragem;metragem;codigo;bomInvestimento
390000.00;Santo Antônio;;Casa em Santa Cruz do Sul;3;;;202.35;CA0095-CA1Q;0
390000.00;Margarida;;Casa em Santa Cruz do Sul;3;;1;190;CA0187-CA1Q;0
400000.00;Monte Verde;IPTU 550/ano;Casa em Santa Cruz do Sul;3;;;150;CA0355-CA1Q;0
413400.00;Santo Inácio;;Casa em Santa Cruz do Sul;3;;1;118.69;CA0079-CA1Q;0
415000.00;Bonfim;;Casa em Santa Cruz do Sul;3;;1;200;CA0329-CA1Q;0
425000.00;Goiás;;Casa em Santa Cruz do Sul;3;1;;120;CA0241-CA1Q;0
426000.00;Bom Jesus;;Casa em Santa Cruz do Sul;4;;;320;CA0199-CA1Q;0
430000.00;Margarida;;Casa em Santa Cruz do Sul;3;;;172;CA0179-CA1Q;0
445000.00;Renascença;;Casa em Santa Cruz do Sul;3;;;160;CA0274-CA1Q;0
450000.00;Renascença;;Casa em Santa Cruz do Sul;3;1;1;111.20;CA0183-CA1Q;0
450000.00;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;123;CA0107-CA1Q;0
450000.00;Aliança;;Casa em Santa Cruz do Sul;3;;1;230;CA0023-CA1Q;0
460000.00;Bonfim;;Casa em Santa Cruz do Sul;3;;1;190;CA0365-CA1Q;0
480000.00;Schulz;;Casa em Santa Cruz do Sul;3;;;243.95;CA0310-CA1Q;0
480000.00;Universitário;;Casa em Santa Cruz do Sul;3;;;188;CA0252-CA1Q;0
480000.00;Margarida;;Casa em Santa Cruz do Sul;2;;;162;CA0140-CA1Q;0
490000.00;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;210.83;CA0130-CA1Q;1
499000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;3;;1;175;CA0075-CA1Q;0
450000.00;Centro;;Casa em Santa Cruz do Sul;3;;;215;CA0019-CA1Q;1
500000.00;João Alves;;Casa em Santa Cruz do Sul;3;;;245;CA0367-CA1Q;1
500000.00;Country;;Casa em Santa Cruz do Sul;3;;;185;CA0297-CA1Q;1
520000.00;João Alves;;Casa em Santa Cruz do Sul;3;;;162.80;CA0170-CA1Q;0
530000.00;Goiás;;Casa em Santa Cruz do Sul;3;1;;133.68;CA0137-CA1Q;0
535000.00;Universitário;;Casa em Santa Cruz do Sul;10;;;180;CA0074-CA1Q;0
540000.00;Goiás;;Casa em Santa Cruz do Sul;3;;;225;CA0265-CA1Q;0
545000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;302;CA0264-CA1Q;0
550000.00;Centro;;Casa em Santa Cruz do Sul;3;;;210;CA0009-CA1Q;0
550000.00;Universitário;;Casa em Santa Cruz do Sul;4;;;230;CA0110-CA1Q;0
550000.00;Margarida;;Casa em Santa Cruz do Sul;4;;;194;CA0338-CA1Q;0
550000.00;Ana Nery;;Casa em Santa Cruz do Sul;3;;;350;CA0311-CA1Q;1
572000.00;Country;;Casa em Santa Cruz do Sul;3;;;136;CA0291-CA1Q;0
580000.00;Senai;IPTU 1.394/mês;Casa em Santa Cruz do Sul;2;;;350.65;CA0210-CA1Q;0
580000.00;Arroio Grande;;Casa em Santa Cruz do Sul;3;;;238.30;CA0153-CA1Q;0
580000.00;Country;;Casa em Santa Cruz do Sul;3;;;146.76;CA0238-CA1Q;0
583000.00;Arroio Grande;;Casa em Santa Cruz do Sul;4;;;230;CA0188-CA1Q;0
590000.00;Santo Inácio;IPTU 1.000/ano;Casa em Santa Cruz do Sul;3;;1;200;CA0359-CA1Q;0
595000.00;Centro;;Casa em Santa Cruz do Sul;3;;;180;CA0175-CA1Q;0
614800.00;Avenida;;Casa em Santa Cruz do Sul;3;;;195;CA0164-CA1Q;0
640000.00;Country;;Casa em Santa Cruz do Sul;3;;;298;CA0016-CA1Q;1
640000.00;Country;;Casa em Santa Cruz do Sul;3;;;160;CA0096-CA1Q;0
643159.00;Jardim Europa;;Casa em Santa Cruz do Sul;3;;;204.18;CA0150-CA1Q;0
650000.00;Centro;;Casa em Santa Cruz do Sul;3;1;;420;CA0131-CA1Q;0
670000.00;Avenida;;Casa em Santa Cruz do Sul;3;;;161;CA0305-CA1Q;0
680000.00;Country;;Casa em Santa Cruz do Sul;3;;;230;CA0208-CA1Q;0
680000.00;Centro;;Casa em Santa Cruz do Sul;4;;;264;CA0147-CA1Q;1
689000.00;Country;;Casa em Santa Cruz do Sul;3;;;182;CA0207-CA1Q;0
740000.00;Santo Antônio;;Casa em Santa Cruz do Sul;2;;;190;CA0315-CA1Q;0
780000.00;Universitário;;Casa em Santa Cruz do Sul;3;;;198;CA0244-CA1Q;0
795000.00;Jardim Europa;;Casa em Santa Cruz do Sul;3;;;274;CA0343-CA1Q;0
795000.00;Goiás;;Casa em Santa Cruz do Sul;3;;;243;CA0106-CA1Q;0
825000.00;Jardim Europa;;Casa em Santa Cruz do Sul;3;;;209.41;CA0326-CA1Q;0
848000.00;Centro;;Casa em Santa Cruz do Sul;3;;1;350;CA0181-CA1Q;0
860000.00;Santo Inácio;;Casa em Santa Cruz do Sul;4;;;306;CA0142-CA1Q;0
898000.00;Goiás;;Casa em Santa Cruz do Sul;3;;;264;CA0145-CA1Q;0
898000.00;Chácara das Freiras;;Casa em Santa Cruz do Sul;4;;;291.87;CA0108-CA1Q;0
899000.00;Avenida;;Casa em Santa Cruz do Sul;5;;1;364;CA0144-CA1Q;0
900000.00;Ana Nery;;Casa em Santa Cruz do Sul;3;;;256.45;CA0198-CA1Q;0
900000.00;Country;Condomínio 450;Casa em Santa Cruz do Sul;3;;;260.68;CA0304-CA1Q;0
944000.00;Jardim Europa;Condomínio 470;Casa em Santa Cruz do Sul;3;;;204.74;CA0139-CA1Q;0
954000.00;Jardim Europa;;Casa em Santa Cruz do Sul;3;;1;204.74;CA0230-CA1Q;0
980000.00;Jardim Europa;;Casa em Santa Cruz do Sul;3;;;220;CA0263-CA1Q;0
990000.00;Centro;;Casa em Santa Cruz do Sul;4;;;170;CA0300-CA1Q;0
1000000.00;Higienópolis;;Casa em Santa Cruz do Sul;4;;;500;CA0283-CA1Q;1
1100000.00;Universitário;Condomínio 550;Casa em Santa Cruz do Sul;3;;;210.31;CA0247-CA1Q;0
1150000.00;Universitário;Condomínio 380;Casa em Santa Cruz do Sul;4;;;230;CA0149-CA1Q;0
1190000.00;Jardim Europa;;Casa em Santa Cruz do Sul;4;;;298.11;CA0240-CA1Q;0
1280000.00;Higienópolis;;Casa em Santa Cruz do Sul;3;;;300;CA0362-CA1Q;0
1290000.00;São João;;Casa em Santa Cruz do Sul;3;;;610;CA0138-CA1Q;1
7000000.00;Centro;;Casa em Santa Cruz do Sul;7;;;1300;CA0136-CA1Q;0
