valor;bairro;obs;tipo;dormitorios;banheiros;vagasGaragem;metragem;codigo
795000;Goiás;;Casa em Santa Cruz do Sul;3;;;243;CA0106-CA1Q
825000;Jardim Europa;;Casa em Santa Cruz do Sul;3;;;209,41;CA0326-CA1Q
848000;Centro;;Casa em Santa Cruz do Sul;3;;1;350;CA0181-CA1Q
860000;Santo Inácio;;Casa em Santa Cruz do Sul;4;;;306;CA0142-CA1Q
898000;Goiás;;Casa em Santa Cruz do Sul;3;;;264;CA0145-CA1Q
898000;Chácara das Freiras;;Casa em Santa Cruz do Sul;4;;;291,87;CA0108-CA1Q
899000;Avenida;;Casa em Santa Cruz do Sul;5;;1;364;CA0144-CA1Q
900000;Ana Nery;;Casa em Santa Cruz do Sul;3;;;256,45;CA0198-CA1Q
900000;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;300;CA0379-CA1Q
900000;Country;Condomínio R$ 450;Casa em Santa Cruz do Sul;3;;;260,68;CA0304-CA1Q
920000;Centro;;Casa em Santa Cruz do Sul;4;;;264;CA0147-CA1Q
944000;Jardim Europa;Condomínio R$ 470;Casa em Santa Cruz do Sul;3;;;204,74;CA0139-CA1Q
954000;Jardim Europa;;Casa em Santa Cruz do Sul;3;;1;204,74;CA0230-CA1Q
980000;Jardim Europa;;Casa em Santa Cruz do Sul;3;;;220;CA0263-CA1Q
990000;Centro;;Casa em Santa Cruz do Sul;4;;;170;CA0300-CA1Q
1000000;Higienópolis;;Casa em Santa Cruz do Sul;4;;;300;CA0283-CA1Q
1100000;Universitário;Condomínio R$ 550;Casa em Santa Cruz do Sul;3;;;210,31;CA0247-CA1Q
1150000;Universitário;Condomínio R$ 380;Casa em Santa Cruz do Sul;4;;;230;CA0149-CA1Q
1190000;Jardim Europa;;Casa em Santa Cruz do Sul;4;;;298,11;CA0240-CA1Q
1280000;Higienópolis;;Casa em Santa Cruz do Sul;3;;;300;CA0362-CA1Q
1290000;São João;;Casa em Santa Cruz do Sul;3;;;410;CA0138-CA1Q
7000000;Centro;;Casa em Santa Cruz do Sul;7;;;1300;CA0136-CA1Q
